['Q12382', 'MASK', 'MASK']
['Q232295', 'MASK', 'Q15631401']
['Q125121', 'P106', 'MASK']
['MASK', 'MASK', 'Q28485675']
['MASK', 'P463', 'MASK']
['Q53450', 'P3373', 'MASK']
['Q51673', 'P40', 'MASK']
['MASK', 'MASK', 'Q10719214']
['Q312288', 'P463', 'MASK']
['Q9711', 'MASK', 'Q4263842']
['MASK', 'P3373', 'MASK']
['Q10720201', 'MASK', 'MASK']
['Q43135', 'MASK', '+1957-09-21T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727']
['Q22092225', 'P735', 'MASK']
['MASK', 'MASK', 'Q21084428']
['MASK', 'P3373', 'MASK']
['MASK', 'P1343', 'Q678259']
['MASK', 'MASK', 'Q154804']
['MASK', 'P3373', 'MASK']
['MASK', 'MASK', 'Q17378135']
['MASK', 'MASK', 'Q824250']
['Q434728', 'P27', 'MASK']
['Q8027', 'P734', 'MASK']
['MASK', 'MASK', 'Q6625963']
['MASK', 'MASK', 'Q82955']
['Q513514', 'P140', 'MASK']
['MASK', 'MASK', 'Q183']
['MASK', 'P119', 'Q208175']
['Q16078795', 'P3373', 'MASK']
['MASK', 'MASK', 'Q233187']
['MASK', 'MASK', 'MASK']
['Q244441', 'MASK', 'MASK']
['Q11891', 'P140', 'MASK']
['Q72599', 'MASK', 'Q188']
['MASK', 'MASK', 'Q188094']
['MASK', 'P166', 'Q1809982']
['MASK', 'P1412', 'MASK']
['Q315439', 'MASK', 'Q30']
['Q34628', 'MASK', 'MASK']
['Q289303', 'MASK', 'MASK']
['Q265252', 'MASK', 'Q1640319']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'Q1766280']
['Q61863', 'MASK', 'MASK']
['MASK', 'P101', 'MASK']
['MASK', 'MASK', 'Q7737']
['Q1361368', 'MASK', 'MASK']
['Q131581', 'MASK', 'MASK']
['Q858532', 'P21', 'MASK']
['MASK', 'P3373', 'Q831169']
['MASK', 'P39', 'Q20722965']
['Q107473', 'MASK', 'Q21065550']
['Q6581598', 'P3373', 'MASK']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['Q150894', 'P570', 'MASK']
['Q677432', 'P27', 'MASK']
['Q67764', 'MASK', 'Q647987']
['Q40640', 'MASK', 'Q3335']
['MASK', 'MASK', 'Q6581072']
['MASK', 'MASK', 'Q123885']
['MASK', 'P3373', 'MASK']
['MASK', 'P21', 'MASK']
['MASK', 'P106', 'MASK']
['MASK', 'P3373', 'MASK']
['Q155734', 'MASK', 'MASK']
['MASK', 'MASK', 'Q11316875']
['MASK', 'MASK', 'MASK']
['Q7395569', 'MASK', 'Q6581097']
['Q3443306', 'MASK', 'Q280658']
['Q333762', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['Q4531582', 'P166', 'MASK']
['Q1347791', 'MASK', 'Q170972']
['Q65617', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'MASK', 'MASK']
['MASK', 'MASK', 'Q10800557']
['Q212499', 'MASK', 'Q10855216']
['MASK', 'P3373', 'MASK']
['MASK', 'P106', 'MASK']
['MASK', 'P3373', 'Q3088081']
['MASK', 'MASK', 'Q783677']
['MASK', 'MASK', 'Q174570']
['MASK', 'MASK', 'Q463303']
['MASK', 'MASK', 'Q191']
['MASK', 'P3373', 'MASK']
['MASK', 'P413', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'P3373', 'MASK']
['MASK', 'MASK', 'Q28389']
['MASK', 'P1196', 'Q10737']
['MASK', 'P3373', 'MASK']
['Q337375', 'MASK', 'Q12201477']
['MASK', 'MASK', 'Q242832']
['Q1147498', 'MASK', 'MASK']
['MASK', 'MASK', 'Q8261']
['Q505197', 'MASK', 'Q169470']
['MASK', 'MASK', 'Q10565476']
['Q434328', 'MASK', 'MASK']
['Q327750', 'P3373', 'MASK']
['Q57240', 'MASK', 'Q183']
['Q223992', 'MASK', 'MASK']
['MASK', 'MASK', 'MASK']
['Q4519057', 'MASK', 'Q2604857']
['MASK', 'MASK', 'Q6581097']
['Q11087518', 'P3373', 'MASK']
['Q3090649', 'P3373', 'MASK']
['MASK', 'P937', 'MASK']
['Q1322959', 'MASK', 'MASK']
['Q130631', 'MASK', 'Q5891']
['Q11561243', 'MASK', 'Q10323292']
['Q334084', 'P463', 'MASK']
['Q153034', 'MASK', 'Q157575']
['MASK', 'P463', 'Q21084421']
['MASK', 'P20', 'MASK']
['MASK', 'MASK', 'Q12192290']
['MASK', 'P3373', 'Q299925']
['MASK', 'MASK', 'MASK']
['MASK', 'P641', 'MASK']
['Q11079363', 'MASK', 'Q5915559']
['Q4368719', 'MASK', 'MASK']
['Q736013', 'MASK', 'MASK']
['Q1197559', 'MASK', 'MASK']
['MASK', 'P40', 'MASK']
['MASK', 'P3373', 'Q11450087']
['MASK', 'P1412', 'MASK']
['MASK', 'MASK', 'MASK']
['Q64915', 'MASK', 'MASK']
['Q9057640', 'MASK', 'MASK']
['MASK', 'P106', 'MASK']
['Q150630', 'MASK', 'Q4345832']
['MASK', 'MASK', 'Q6646425']
['Q179858', 'P69', 'MASK']
['Q93996', 'P1343', 'MASK']
['Q38484', 'MASK', 'Q463303']
['MASK', 'P570', '+1915-05-07T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727']
['MASK', 'P69', 'MASK']
['MASK', 'P735', 'Q17539144']
['MASK', 'P607', 'MASK']
['Q1071329', 'MASK', 'MASK']
['MASK', 'P3373', 'MASK']
['Q3159824', 'MASK', 'MASK']
['MASK', 'P106', 'Q177220']
['Q569003', 'MASK', 'MASK']
['MASK', 'P106', 'MASK']
['MASK', 'P40', 'Q10946204']
['Q963055', 'P106', 'MASK']
['MASK', 'P737', 'Q9317']
['MASK', 'P735', 'MASK']
['Q561662', 'P27', 'MASK']
['Q15923998', 'MASK', 'MASK']
['MASK', 'P937', 'Q2807']
['MASK', 'MASK', 'Q230031']
['MASK', 'P3373', 'MASK']
['Q11098144', 'MASK', 'Q9753']
['Q364451', 'MASK', 'Q17378135']
['MASK', 'MASK', 'Q16075365']
['MASK', 'P106', 'Q4964182']
['Q315434', 'MASK', 'Q4925623']
['MASK', 'P3373', 'Q11063955']
['MASK', 'P27', 'Q39']
['Q10346807', 'P106', 'MASK']
['MASK', 'P3373', 'Q11634959']
['MASK', 'P937', 'MASK']
['Q937', 'P106', 'MASK']
['Q335218', 'MASK', 'MASK']
['Q18391', 'MASK', 'Q218']
['Q191963', 'P101', 'MASK']
['MASK', 'P53', 'Q28482172']
['Q473926', 'MASK', 'MASK']
['MASK', 'P3373', 'Q7244845']
['Q94081', 'P166', 'MASK']
['Q17150957', 'MASK', 'Q9610']
['MASK', 'P27', 'Q161885']
['Q103651', 'MASK', 'Q928314']
['MASK', 'MASK', '+1888-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727']
['Q69462', 'MASK', 'MASK']
['MASK', 'MASK', 'Q17231624']
['Q335600', 'MASK', 'MASK']
['MASK', 'P463', 'MASK']
['MASK', 'P119', 'Q1776168']
['Q130631', 'MASK', 'MASK']
['Q11063955', 'MASK', 'Q16075362']
['Q4424154', 'MASK', 'Q17378135']
['Q30547', 'P172', 'MASK']
['MASK', 'P69', 'MASK']
['MASK', 'MASK', 'Q14038597']
['MASK', 'MASK', 'Q10956211']
['Q2071', 'MASK', 'MASK']
['Q310903', 'MASK', 'MASK']
['MASK', 'P27', 'MASK']
