P1534	end cause
P485	archives at
P794	no_label
P2578	is the study of
P552	handedness
P1875	represented by
P2868	subject has role
P3342	significant person
P1411	nominated for
P580	start time
P17	country
P3448	stepparent
P1399	convicted of
P1884	hair color
P407	language of work or name
P1327	partner in business or sport
P3919	contributed to creative work
P97	noble title
P1642	acquisition transaction
P512	academic degree
P735	given name
P1366	replaced by
P27	country of citizenship
P2416	sports discipline competed in
P611	religious order
P2842	place of marriage
P1340	eye color
P571	inception
P805	statement is subject of
P155	follows
P172	ethnic group
P746	date of disappearance
P410	military, police or special rank
P6	head of government
P647	drafted by
P1706	together with
P138	named after
P841	feast day
P553	website account on
P463	member of
P25	mother
P21	sex or gender
P31	instance of
P413	position played on team / speciality
P1038	relative
P1576	lifestyle
P577	publication date
P91	sexual orientation
P1598	consecrator
P170	creator
P1344	participant in
P2359	nomen gentilicium
P708	diocese
P793	significant event
P118	league or competition
P641	sport
P241	military branch
P2962	title of chess person
P551	residence
P945	allegiance
P166	award received
P135	movement
P66	ancestral home
P50	author
P509	cause of death
P1268	represents
P1142	political ideology
P411	canonization status
P1416	affiliation
P570	date of death
P495	country of origin
P286	head coach
P2439	no_label
P585	point in time
P1830	owner of
P1387	political alignment
P3373	sibling
P598	commander of (DEPRECATED)
P39	position held
P1035	honorific suffix
P1290	godparent
P642	of (DEPRECATED)
P2937	parliamentary term
P1001	applies to jurisdiction
P1643	departure transaction
P1441	present in work
P460	said to be the same as
P276	location
P1412	languages spoken, written or signed
P1346	winner
P358	discography
P57	director
P1347	military casualty classification
P582	end time
P40	child
P800	notable work
P361	part of
P22	father
P2358	praenomen
P859	sponsor
P468	dan/kyu rank
P53	family
P768	electoral district
P1950	second family name in Spanish name
P157	killed by
P972	catalog
P823	speaker
P2032	work period (end)
P1734	oath of office date
P134	no_label
P108	employer
P2388	position held by head of the organization
P248	stated in
P184	doctoral advisor
P136	genre
P3602	candidacy in election
P423	shooting handedness
P69	educated at
P1050	medical condition
P263	official residence
P4100	parliamentary group
P54	member of sports team
P1303	instrument
P2094	competition class
P811	academic minor
P1889	different from
P1686	for work
P175	performer
P26	spouse
P1027	conferred by
P812	academic major
P1596	penalty
P1365	replaces
P1532	country for sport
P19	place of birth
P470	Eight Banner register
P1319	earliest date
P101	field of work
P185	doctoral student
P607	participated in conflict
P813	retrieved
P106	occupation
P1343	described by source
P737	influenced by
P1636	date of baptism
P740	location of formation
P488	chairperson
P137	operator
P748	appointed by
P511	honorific prefix
P2348	time period
P264	record label
P1066	student of
P2925	domain of saint or deity
P20	place of death
P1321	municipal affiliation of a Swiss national
P1853	blood type
P1962	no_label
P3831	object of statement has role
P803	professorship
P103	native language
P941	inspired by
P35	head of state
P102	member of political party
P3716	social classification
P828	has cause
P734	family name
P802	student
P159	headquarters location
P2632	place of detention
P425	field of this occupation
P1310	statement disputed by
P569	date of birth
P741	playing hand
P1196	manner of death
P2650	interested in
P937	work location
P1037	director / manager
P131	located in the administrative territorial entity
P2715	elected in
P451	unmarried partner
P1317	floruit
P156	followed by
P279	subclass of
P1012	including
P412	voice type
P2596	culture
P199	has organizational division
P1039	kinship to subject
P140	religion or worldview
P119	place of burial
P1731	Fach vocal classification
P2031	work period (start)
