['Q3087837', 'MASK', 'MASK']
['Q44481', 'MASK', 'MASK']
['MASK', 'MASK', 'Q28841847']
['MASK', 'MASK', 'Q16603734']
['MASK', 'MASK', 'Q8003781']
['Q520023', 'MASK', 'MASK']
['Q9889', 'MASK', 'MASK']
['MASK', 'MASK', 'Q190697']
['Q11378621', 'MASK', 'MASK']
['MASK', 'MASK', 'Q9387384']
['Q6107', 'MASK', 'MASK']
['Q155822', 'MASK', 'MASK']
['MASK', 'MASK', 'Q19852371']
['MASK', 'MASK', 'Q2259451']
['MASK', 'MASK', 'Q2958359']
['Q313755', 'MASK', 'MASK']
['Q32927', 'MASK', 'MASK']
['Q77482', 'MASK', 'MASK']
['Q313857', 'MASK', 'MASK']
['MASK', 'MASK', 'Q10907833']
['Q2844607', 'MASK', 'MASK']
['Q347611', 'MASK', 'MASK']
['Q64266', 'MASK', 'MASK']
['Q205606', 'MASK', 'MASK']
['MASK', 'MASK', 'Q414110']
['Q3784947', 'MASK', 'MASK']
['Q467167', 'MASK', 'MASK']
['MASK', 'MASK', 'Q475210']
['Q333095', 'MASK', 'MASK']
['MASK', 'MASK', 'Q8261']
['MASK', 'MASK', 'Q145']
['MASK', 'MASK', 'Q2966']
['Q860206', 'MASK', 'MASK']
['Q84296', 'MASK', 'MASK']
['Q157793', 'MASK', 'MASK']
['Q11692708', 'MASK', 'MASK']
['MASK', 'MASK', 'Q11703653']
['Q16075278', 'MASK', 'MASK']
['MASK', 'MASK', 'Q799494']
['MASK', 'MASK', 'Q13218361']
['Q9761', 'MASK', 'MASK']
['MASK', 'MASK', 'Q337463']
['MASK', 'MASK', 'Q5787555']
['Q561470', 'MASK', 'MASK']
['MASK', 'MASK', 'Q6581097']
['Q162389', 'MASK', 'MASK']
['Q80135', 'MASK', 'MASK']
['MASK', 'MASK', 'Q16603581']
['MASK', 'MASK', 'Q276578']
['MASK', 'MASK', 'Q3621491']
['Q37818208', 'MASK', 'MASK']
['MASK', 'MASK', 'Q15732892']
['Q128473', 'MASK', 'MASK']
['Q335550', 'MASK', 'MASK']
['MASK', 'MASK', 'Q609158']
['Q79025', 'MASK', 'MASK']
['MASK', 'MASK', 'Q10946964']
['MASK', 'MASK', 'Q57798']
['MASK', 'MASK', 'Q10897043']
['MASK', 'MASK', 'Q48958']
['MASK', 'MASK', 'Q9763']
['MASK', 'MASK', 'Q2656']
['MASK', 'MASK', 'Q207']
['Q567047', 'MASK', 'MASK']
['MASK', 'MASK', 'Q5841297']
['MASK', 'MASK', 'Q6581072']
['MASK', 'MASK', 'Q6581097']
['MASK', 'MASK', 'Q145']
['MASK', 'MASK', 'Q5860449']
['Q274123', 'MASK', 'MASK']
['MASK', 'MASK', 'Q242928']
['Q969753', 'MASK', 'MASK']
['Q316768', 'MASK', 'MASK']
['MASK', 'MASK', 'Q1242655']
['Q10332483', 'MASK', 'MASK']
['MASK', 'MASK', 'Q36834']
['Q268181', 'MASK', 'MASK']
['MASK', 'MASK', 'Q18080423']
['MASK', 'MASK', 'Q37073']
['MASK', 'MASK', 'Q336286']
['Q2834961', 'MASK', 'MASK']
['Q5577', 'MASK', 'MASK']
['Q10884353', 'MASK', 'MASK']
['Q230454', 'MASK', 'MASK']
['Q1894021', 'MASK', 'MASK']
['Q3088112', 'MASK', 'MASK']
['Q152298', 'MASK', 'MASK']
['Q36242', 'MASK', 'MASK']
['Q128399', 'MASK', 'MASK']
['Q1812990', 'MASK', 'MASK']
['Q217110', 'MASK', 'MASK']
['MASK', 'MASK', 'Q12885801']
['MASK', 'MASK', 'Q188']
['MASK', 'MASK', 'Q488205']
['Q518684', 'MASK', 'MASK']
['MASK', 'MASK', 'Q287652']
['Q16908169', 'MASK', 'MASK']
['MASK', 'MASK', 'Q6581097']
['Q191423', 'MASK', 'MASK']
['Q164784', 'MASK', 'MASK']
['Q40096', 'MASK', 'MASK']
['MASK', 'MASK', 'Q803']
['Q1364180', 'MASK', 'MASK']
['Q1344765', 'MASK', 'MASK']
['Q250136', 'MASK', 'MASK']
['Q29230', 'MASK', 'MASK']
['Q160433', 'MASK', 'MASK']
['Q228546', 'MASK', 'MASK']
